game_name,released_date,platform,overall_rating,exceptional,recommended,meh,skip,metacritic,suggestions_count,tags,all,new_tags,new_plat,year
Red Dead Redemption 2,10/26/2018,"PC', 'PlayStation 4', 'Xbox One'",4.58,2871,731,225,117,96,616,"singleplayer', 'multiplayer', 'atmospheric', 'fps', 'gore', 'sandbox', 'exploration', 'violent', 'pvp', 'mature', 'historical', 'cinematic', 'realistic', 'crime', 'blood', 'america', 'masterpiece', 'beautiful', 'hunting', 'western'",", 'all","singleplayer', 'multiplayer', 'atmospheric', 'fps', 'gore', 'sandbox', 'exploration', 'violent', 'pvp', 'mature', 'historical', 'cinematic', 'realistic', 'crime', 'blood', 'america', 'masterpiece', 'beautiful', 'hunting', 'western', 'all","PC', 'PlayStation 4', 'Xbox One', 'all",2018
DOOM (2016),5/13/2016,"PC', 'Xbox One', 'PlayStation 4', 'Nintendo Switch'",4.39,1584,1133,219,65,85,644,"singleplayer', 'multiplayer', 'atmospheric', 'cooperative', 'horror', 'fps', 'difficult', 'gore', 'classic', 'zombies', 'memes', 'remake', 'blood', 'demons'",", 'all","singleplayer', 'multiplayer', 'atmospheric', 'cooperative', 'horror', 'fps', 'difficult', 'gore', 'classic', 'zombies', 'memes', 'remake', 'blood', 'demons', 'all","PC', 'Xbox One', 'PlayStation 4', 'Nintendo Switch', 'all",2016
Destiny 2,9/6/2017,"PC', 'PlayStation 5', 'Xbox One', 'PlayStation 4', 'Xbox Series S/X', 'Web'",3.57,307,1003,700,181,82,1205,"singleplayer', 'multiplayer', 'atmospheric', 'cooperative', 'fps', 'exploration', 'space', 'pvp', 'futuristic', 'aliens', 'story', 'combat', 'online', 'mmorpg', 'loot', 'pve', 'city', 'console', 'friends', 'masterpiece', 'weapons', 'skill', 'destroy', 'collect', 'hunt', 'gun', 'rain', 'quick', 'enemy', 'darkness', 'defender'",", 'all","singleplayer', 'multiplayer', 'atmospheric', 'cooperative', 'fps', 'exploration', 'space', 'pvp', 'futuristic', 'aliens', 'story', 'combat', 'online', 'mmorpg', 'loot', 'pve', 'city', 'console', 'friends', 'masterpiece', 'weapons', 'skill', 'destroy', 'collect', 'hunt', 'gun', 'rain', 'quick', 'enemy', 'darkness', 'defender', 'all","PC', 'PlayStation 5', 'Xbox One', 'PlayStation 4', 'Xbox Series S/X', 'Web', 'all",2017
God of War,4/20/2018,"PC', 'PlayStation 5', 'PlayStation 4'",4.59,2744,715,158,121,94,596,"singleplayer', 'atmospheric', 'rpg', 'fantasy', 'gore', 'exploration', 'violent', 'exclusive', 'crafting', 'combat', 'blood', 'pve', 'mythology', 'emotional'",", 'all","singleplayer', 'atmospheric', 'rpg', 'fantasy', 'gore', 'exploration', 'violent', 'exclusive', 'crafting', 'combat', 'blood', 'pve', 'mythology', 'emotional', 'all","PC', 'PlayStation 5', 'PlayStation 4', 'all",2018
Horizon Zero Dawn,2/28/2017,"PC', 'PlayStation 4'",4.33,1614,1075,328,85,89,630,"singleplayer', 'atmospheric', 'rpg', 'exploration', 'stealth', 'exclusive', 'futuristic', 'cinematic', 'robots', 'drama', 'experience', 'atmosphere'",", 'all","singleplayer', 'atmospheric', 'rpg', 'exploration', 'stealth', 'exclusive', 'futuristic', 'cinematic', 'robots', 'drama', 'experience', 'atmosphere', 'all","PC', 'PlayStation 4', 'all",2017
Cyberpunk 2077,12/10/2020,"PC', 'PlayStation 5', 'PlayStation 4', 'Xbox One', 'Xbox Series S/X'",4.04,693,487,253,128,73,616,"singleplayer', 'atmospheric', 'rpg', 'fps', 'sandbox', 'exploration', 'violent', 'nudity', 'mature', 'futuristic', 'cinematic', 'cyberpunk', 'crime', 'robots', 'blood', 'america', 'masterpiece', 'soundtrack', 'hacking', 'photorealistic', 'immersive'",", 'all","singleplayer', 'atmospheric', 'rpg', 'fps', 'sandbox', 'exploration', 'violent', 'nudity', 'mature', 'futuristic', 'cinematic', 'cyberpunk', 'crime', 'robots', 'blood', 'america', 'masterpiece', 'soundtrack', 'hacking', 'photorealistic', 'immersive', 'all","PC', 'PlayStation 5', 'PlayStation 4', 'Xbox One', 'Xbox Series S/X', 'all",2020
Hitman,3/11/2016,"PC', 'PlayStation 4', 'Xbox One', 'macOS', 'Linux'",3.92,396,942,262,89,83,559,"singleplayer', 'atmospheric', 'sandbox', 'stealth', 'tactical', 'nudity', 'crime', 'assassin', 'episodic', 'illuminati', 'heist'",", 'all","singleplayer', 'atmospheric', 'sandbox', 'stealth', 'tactical', 'nudity', 'crime', 'assassin', 'episodic', 'illuminati', 'heist', 'all","PC', 'PlayStation 4', 'Xbox One', 'macOS', 'Linux', 'all",2016
Deus Ex: Mankind Divided,8/22/2016,"PC', 'Xbox One', 'PlayStation 4', 'macOS', 'Linux'",3.96,522,774,308,92,83,631,"singleplayer', 'atmospheric', 'rpg', 'fps', 'stealth', 'futuristic', 'cyberpunk', 'dystopian', 'illuminati', 'conspiracy', 'transhumanism'",", 'all","singleplayer', 'atmospheric', 'rpg', 'fps', 'stealth', 'futuristic', 'cyberpunk', 'dystopian', 'illuminati', 'conspiracy', 'transhumanism', 'all","PC', 'Xbox One', 'PlayStation 4', 'macOS', 'Linux', 'all",2016
Uncharted 4: A Thief’s End,5/10/2016,"PlayStation 5', 'PlayStation 4'",4.51,1992,821,151,91,93,667,atmospheric',", 'all","atmospheric', 'all","PlayStation 5', 'PlayStation 4', 'all",2016
Dark Souls III,4/11/2016,"PC', 'Xbox One', 'PlayStation 4'",4.4,1276,563,149,95,89,712,"singleplayer', 'multiplayer', 'atmospheric', 'rpg', 'cooperative', 'horror', 'difficult', 'exploration', 'pvp'",", 'all","singleplayer', 'multiplayer', 'atmospheric', 'rpg', 'cooperative', 'horror', 'difficult', 'exploration', 'pvp', 'all","PC', 'Xbox One', 'PlayStation 4', 'all",2016
