,year,genre,count,rating,metacritics
12,2011,atmospheric,39,3.66794871794872,77.5897435897436
113,2011,funny,34,3.35911764705882,73.3235294117647
62,2011,cooperative,51,3.13058823529412,72.6274509803922
229,2011,rpg,52,3.07942307692308,72.1346153846154
56,2011,comedy,33,3.28242424242424,70.8787878787879
363,2012,controller,33,3.49878787878788,77.9090909090909
319,2012,atmospheric,79,3.66164556962025,77.379746835443
380,2012,difficult,37,3.43756756756757,75.8918918918919
550,2012,rpg,58,3.14689655172414,74.4310344827586
409,2012,fantasy,41,3.22,73.2682926829268
708,2013,difficult,53,3.24735849056604,76.0377358490566
728,2013,exclusive,33,3.38787878787879,75.4545454545455
730,2013,exploration,35,3.12428571428571,75.1428571428571
689,2013,controller,34,3.36117647058824,74.6176470588235
685,2013,comedy,46,3.41021739130435,74.2391304347826
1028,2014,difficult,58,3.37568965517241,74.6034482758621
1213,2014,stats,39,3.02487179487179,73.0769230769231
1061,2014,funny,49,3.36183673469388,72.9591836734694
1045,2014,exploration,35,3.23885714285714,72.8285714285714
1227,2014,tactical,37,2.85027027027027,72.1081081081081
1562,2015,tactical,37,2.78513513513513,75.5945945945946
1505,2015,retro,34,3.21323529411765,74.9411764705882
1348,2015,difficult,72,3.17347222222222,74.5138888888889
1416,2015,isometric,31,3.15322580645161,74.1290322580645
1372,2015,fantasy,61,2.9983606557377,74.0983606557377
1676,2016,cute,31,2.91354838709677,77.0322580645161
1688,2016,difficult,59,3.4328813559322,76.7796610169491
1829,2016,overlay,45,3.37511111111111,75.2888888888889
1717,2016,fantasy,56,3.19875,75.125
1873,2016,sandbox,32,3.4315625,75.0625
2052,2017,exclusive,35,3.84685714285714,77.4285714285714
2058,2017,fantasy,36,3.36611111111111,76.6111111111111
2055,2017,exploration,41,3.35951219512195,75.1707317073171
2184,2017,rpg,90,3.15211111111111,75.1333333333333
1959,2017,atmospheric,92,3.44380434782609,75.054347826087
2272,2018,atmospheric,63,3.69952380952381,75.1904761904762
2321,2018,cooperative,52,3.38788461538462,74.8076923076923
2514,2018,rpg,60,3.458,73.3
2573,2018,violent,47,3.52446808510638,71.6170212765958
2409,2018,horror,39,3.47846153846154,70.4615384615385
2609,2019,atmospheric,52,3.55730769230769,74.6346153846154
2654,2019,cooperative,40,3.57775,74.275
2732,2019,gore,41,3.57829268292683,74.2439024390244
2699,2019,exploration,32,3.560625,74.125
2852,2019,rpg,58,3.36362068965517,73.6379310344828
3070,2020,exploration,37,3.36756756756757,77.2972972972973
2940,2020,atmospheric,62,3.48338709677419,75.3225806451613
3261,2020,rpg,70,2.89671428571429,73.1714285714286
2996,2020,colorful,39,2.48307692307692,73.025641025641
3010,2020,cooperative,36,2.95333333333333,73.0
3729,2021,rpg,81,2.63666666666667,74.9753086419753
3779,2021,story,36,2.30805555555556,74.6666666666667
3558,2021,gore,31,3.01,74.4193548387097
3667,2021,offline,32,2.6603125,74.25
3831,2021,violent,43,2.96651162790698,74.1860465116279
